task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_f1,validation_exact_match,experiment_elapsed_time
question-answering,mlqa,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,64,0.0,1.0,kldiv,37,2.002318635582924,70.60278684707957,45.2,40202.875505685806
question-answering,mlqa,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,32,0.0,1.0,kldiv,32,1.9764727801084518,70.00902814878238,44.6,32085.39872932434
question-answering,mlqa,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,16,0.0,1.0,kldiv,32,1.9736628122627735,70.40142569146582,45.4,29977.852838754654
question-answering,mlqa,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,64,0.0,1.0,kldiv,48,1.983218103647232,70.28791983572312,44.4,52200.502115011215
question-answering,mlqa,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,32,0.0,1.0,kldiv,37,1.9848014488816261,69.53785518102224,43.2,37063.264536857605
question-answering,mlqa,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,16,0.0,1.0,kldiv,42,2.0153581239283085,68.95593420115925,43.2,39269.683130025864
question-answering,sqac,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,64,0.0,1.0,kldiv,40,0.9164045868497906,77.52359966952386,60.08583690987125,16372.121762752533
question-answering,sqac,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,32,0.0,1.0,kldiv,46,0.8786573251991561,78.11285778336435,61.212446351931334,18199.642962694168
question-answering,sqac,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,16,0.0,1.0,kldiv,46,0.8550720378642774,78.9824787443219,62.76824034334764,17365.666269540787
question-answering,sqac,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,64,0.0,1.0,kldiv,35,0.9074627486142245,77.89466875785062,60.67596566523605,14475.426469564438
question-answering,sqac,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,32,0.0,1.0,kldiv,50,0.8860457259597201,78.48628270668675,61.74892703862661,19730.81086754799
question-answering,sqac,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,16,0.0,1.0,kldiv,50,0.899506920507846,78.69861966243417,61.96351931330472,18804.220594406128
question-answering,tar,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,64,0.0,1.0,kldiv,36,1.4810583964887871,77.40866327194146,60.43519394512772,47344.236619234085
question-answering,tar,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,32,0.0,1.0,kldiv,35,1.4627262325171966,77.75375654824717,60.8325449385052,42235.75277256966
question-answering,tar,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,16,0.0,1.0,kldiv,36,1.4575909340237996,77.7473058907151,60.98391674550615,40697.30006527901
question-answering,tar,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,64,0.0,1.0,kldiv,42,1.4608106006340809,77.68771293380587,61.173131504257334,54235.67006397247
question-answering,tar,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,32,0.0,1.0,kldiv,39,1.4620953414095454,77.76792734794685,60.78524124881741,46792.454365730286
question-answering,tar,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,16,0.0,1.0,kldiv,50,1.4769769191113582,77.67218258719392,60.69063386944182,55472.87863063812
