task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_f1,validation_exact_match,experiment_elapsed_time
question-answering,mlqa,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,64,0.0,1.0,kldiv,13,2.7191363275051117,49.3256014555234,28.8,2505.4738199710846
question-answering,mlqa,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,32,0.0,1.0,kldiv,31,2.6814230382442474,52.87816542608944,30.4,5690.205918312073
question-answering,mlqa,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,5e-05,16,0.0,1.0,kldiv,28,2.6264495104551315,52.954833488832264,29.4,11246.862236499786
question-answering,mlqa,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,64,0.0,1.0,kldiv,29,2.6237169206142426,51.20067882827917,30.0,5430.993244409561
question-answering,mlqa,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,32,0.0,1.0,kldiv,34,2.5744071155786514,52.51004691722177,31.0,6240.402210474014
question-answering,mlqa,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-mlqa,0.0001,16,0.0,1.0,kldiv,12,2.633187398314476,52.43561577570713,30.8,2302.0248458385468
question-answering,sqac,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,64,0.0,1.0,kldiv,14,1.8580169822230483,57.177811622012925,39.216738197424895,3522.1166768074036
question-answering,sqac,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,32,0.0,1.0,kldiv,13,1.7677923621553364,59.6009741856349,40.933476394849784,3295.569408893585
question-answering,sqac,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,5e-05,16,0.0,1.0,kldiv,36,1.6324491027657313,61.40902094133618,43.937768240343345,4801.170399427414
question-answering,sqac,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,64,0.0,1.0,kldiv,13,1.7357241999019275,60.231084174939504,42.167381974248926,1097.9870314598083
question-answering,sqac,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,32,0.0,1.0,kldiv,35,1.5967429307374088,62.60877846780926,44.63519313304721,2686.0839545726776
question-answering,sqac,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-sqac,0.0001,16,0.0,1.0,kldiv,39,1.5820121187290161,63.617697906860165,46.351931330472105,3000.982180118561
question-answering,tar,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,64,0.0,1.0,kldiv,14,1.9774749192846828,66.77233912552302,49.86754966887417,11151.59874010086
question-answering,tar,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,32,0.0,1.0,kldiv,13,1.96242153752281,67.26994241320256,50.491958372753075,10077.033558130264
question-answering,tar,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,5e-05,16,0.0,1.0,kldiv,33,1.8803197083523475,68.50953651694034,51.466414380321666,14212.650197982788
question-answering,tar,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,64,0.0,1.0,kldiv,32,1.8881647802260986,67.9524855083047,50.728476821192054,7960.366839170456
question-answering,tar,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,32,0.0,1.0,kldiv,46,1.8674142362482578,68.04445638045908,50.87038789025544,11102.296009540558
question-answering,tar,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-qa-tar,0.0001,16,0.0,1.0,kldiv,37,1.8591249415493873,68.29867009526431,51.01229895931883,9113.952899456024
