task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy,experiment_elapsed_time
sequence-classification,mldoc,CenIA/albert-base-spanish,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,64,0.0,1.0,kldiv,38,0.13549270806834102,0.968,8087.646471738815
sequence-classification,mldoc,CenIA/albert-base-spanish,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,32,0.0,1.0,kldiv,40,0.1275651182513684,0.971,8110.156154632568
sequence-classification,mldoc,CenIA/albert-base-spanish,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,16,0.0,1.0,kldiv,17,0.14196826116965403,0.965,3556.161273241043
sequence-classification,mldoc,CenIA/albert-base-spanish,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,64,0.0,1.0,kldiv,41,0.13438754447270185,0.968,8588.428958177567
sequence-classification,mldoc,CenIA/albert-base-spanish,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,32,0.0,1.0,kldiv,13,0.12945168127771467,0.976,3013.836092233658
sequence-classification,mldoc,CenIA/albert-base-spanish,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,16,0.0,1.0,kldiv,17,0.1410576920542452,0.969,3544.669966697693
sequence-classification,pawsx,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,64,0.0,1.0,kldiv,37,0.2502623712643981,0.9105,7565.743078708649
sequence-classification,pawsx,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,32,0.0,1.0,kldiv,40,0.2517289616285808,0.9085,7672.372545003891
sequence-classification,pawsx,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,16,0.0,1.0,kldiv,47,0.2549392710924149,0.91,9006.959543943405
sequence-classification,pawsx,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,64,0.0,1.0,kldiv,21,0.6814979184418917,0.5765,4383.4112203121185
sequence-classification,pawsx,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,32,0.0,1.0,kldiv,28,0.6814419892099168,0.5765,5426.219892978668
sequence-classification,pawsx,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,16,0.0,1.0,kldiv,13,0.681402816772461,0.5765,2636.9792420864105
sequence-classification,xnli,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,64,0.0,1.0,kldiv,38,0.45992500354082155,0.821285140562249,64430.16399908066
sequence-classification,xnli,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,32,0.0,1.0,kldiv,29,0.46025756345345425,0.8136546184738955,43078.36315059662
sequence-classification,xnli,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,16,0.0,1.0,kldiv,43,0.4546204548424635,0.8176706827309237,60463.99972343445
sequence-classification,xnli,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,64,0.0,1.0,kldiv,26,0.469412305416205,0.8136546184738955,44114.69070601463
sequence-classification,xnli,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,32,0.0,1.0,kldiv,48,0.4603729920509534,0.8228915662650602,71107.61769962311
sequence-classification,xnli,CenIA/albert-base-spanish,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,16,0.0,1.0,kldiv,25,1.0994827754986591,0.3421686746987952,35343.56905722618
