task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy,experiment_elapsed_time
sequence-classification,mldoc,josecannete/albert-base-spanish-6,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,64,0.0,1.0,kldiv,29,0.13238142081536353,0.97,3234.8304963111877
sequence-classification,mldoc,josecannete/albert-base-spanish-6,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,32,0.0,1.0,kldiv,26,0.12531564745586365,0.967,2837.4496099948883
sequence-classification,mldoc,josecannete/albert-base-spanish-6,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,16,0.0,1.0,kldiv,17,0.11895740494900753,0.971,1851.9444880485535
sequence-classification,mldoc,josecannete/albert-base-spanish-6,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,64,0.0,1.0,kldiv,21,0.1249911526683718,0.968,2420.114590883255
sequence-classification,mldoc,josecannete/albert-base-spanish-6,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,32,0.0,1.0,kldiv,15,0.14121370442444459,0.964,1758.1378936767578
sequence-classification,mldoc,josecannete/albert-base-spanish-6,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,16,0.0,1.0,kldiv,25,0.15341432481294587,0.963,2600.710154771805
sequence-classification,pawsx,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,64,0.0,1.0,kldiv,32,0.30160518921911716,0.8785,3738.5207765102386
sequence-classification,pawsx,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,32,0.0,1.0,kldiv,23,0.30373109758846345,0.885,2443.1332099437714
sequence-classification,pawsx,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,16,0.0,1.0,kldiv,23,0.2986268993616104,0.884,2392.598816871643
sequence-classification,pawsx,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,64,0.0,1.0,kldiv,32,0.29282573610544205,0.8905,3743.2334508895874
sequence-classification,pawsx,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,32,0.0,1.0,kldiv,37,0.3107611314644889,0.876,3858.6106209754944
sequence-classification,pawsx,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,16,0.0,1.0,kldiv,12,0.681512309551239,0.576,1307.7239456176758
sequence-classification,xnli,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,64,0.0,1.0,kldiv,26,0.4835478281363463,0.8080321285140563,25001.678891420364
sequence-classification,xnli,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,32,0.0,1.0,kldiv,38,0.4712249342447672,0.8128514056224899,30433.97474861145
sequence-classification,xnli,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,16,0.0,1.0,kldiv,26,0.48527932558686304,0.8068273092369478,19814.158542871475
sequence-classification,xnli,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,64,0.0,1.0,kldiv,24,0.4855274741466229,0.8068273092369478,23118.991020679474
sequence-classification,xnli,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,32,0.0,1.0,kldiv,45,0.4927474713096252,0.797991967871486,36170.66636252403
sequence-classification,xnli,josecannete/albert-base-spanish-6,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,16,0.0,1.0,kldiv,32,0.5632212323447069,0.7714859437751004,24342.890143871307
