task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy,experiment_elapsed_time
sequence-classification,mldoc,CenIA/albert-tiny-spanish,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,64,0.0,1.0,kldiv,26,0.15167131018824875,0.963,843.7568109035492
sequence-classification,mldoc,CenIA/albert-tiny-spanish,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,32,0.0,1.0,kldiv,31,0.15417696139775217,0.964,978.7525868415833
sequence-classification,mldoc,CenIA/albert-tiny-spanish,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,16,0.0,1.0,kldiv,19,0.14180196177155252,0.968,624.3744411468506
sequence-classification,mldoc,CenIA/albert-tiny-spanish,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,64,0.0,1.0,kldiv,24,0.15023576351813972,0.961,779.8034951686859
sequence-classification,mldoc,CenIA/albert-tiny-spanish,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,32,0.0,1.0,kldiv,26,0.12727411655941978,0.969,830.5587792396545
sequence-classification,mldoc,CenIA/albert-tiny-spanish,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,16,0.0,1.0,kldiv,25,0.14765675385142601,0.961,799.7428464889526
sequence-classification,pawsx,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,64,0.0,1.0,kldiv,33,0.4124740120023489,0.823,1467.2750108242035
sequence-classification,pawsx,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,32,0.0,1.0,kldiv,24,0.39906545054344905,0.8245,1116.841834306717
sequence-classification,pawsx,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,16,0.0,1.0,kldiv,35,0.3658586496114731,0.8465,2108.6717553138733
sequence-classification,pawsx,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,64,0.0,1.0,kldiv,21,0.4014171361923218,0.832,945.7411603927612
sequence-classification,pawsx,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,32,0.0,1.0,kldiv,13,0.4314645479122798,0.7955,616.9529302120209
sequence-classification,pawsx,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,16,0.0,1.0,kldiv,24,0.4025971289873123,0.817,1459.0413162708282
sequence-classification,xnli,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,64,0.0,1.0,kldiv,13,0.627591386055335,0.7337349397590361,4794.7105321884155
sequence-classification,xnli,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,32,0.0,1.0,kldiv,44,0.5781061045634441,0.7706827309236948,16066.161303281784
sequence-classification,xnli,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,16,0.0,1.0,kldiv,28,0.5962355382358416,0.7485943775100402,13337.353596687317
sequence-classification,xnli,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,64,0.0,1.0,kldiv,33,0.5777418078520359,0.7642570281124498,11974.028061389923
sequence-classification,xnli,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,32,0.0,1.0,kldiv,42,0.5698994929209734,0.7730923694779116,15418.195418834686
sequence-classification,xnli,CenIA/albert-tiny-spanish,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,16,0.0,1.0,kldiv,29,0.6043377788021014,0.7502008032128514,13947.775072574615
