task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_precision,validation_recall,validation_f1,validation_accuracy,experiment_elapsed_time
token-classification,pos,CenIA/albert-base-spanish,CenIA/roberta-base-bne-finetuned-pos,5e-05,16,0.0,1.0,kldiv,14,0.06275508980839871,0.9809550483125613,0.9808961792358472,0.980925612890965,0.9828416903125059,1411.0043144226074
token-classification,pos,CenIA/albert-base-spanish,CenIA/roberta-base-bne-finetuned-pos,5e-05,32,0.0,1.0,kldiv,14,0.06267935402977926,0.9815151939504271,0.9814562912582516,0.9814857417205958,0.9835082173258937,1331.400396823883
token-classification,pos,CenIA/albert-base-spanish,CenIA/roberta-base-bne-finetuned-pos,5e-05,64,0.0,1.0,kldiv,17,0.063798813507534,0.9820971355416866,0.9821364272854571,0.9821167810205838,0.9840223953076498,1512.7724738121033
token-classification,pos,CenIA/albert-base-spanish,CenIA/roberta-base-bne-finetuned-pos,0.0001,16,0.0,1.0,kldiv,15,0.06553133139207673,0.9803203935921282,0.9805361072214442,0.9804282385414687,0.9822703814438879,1430.6702163219452
token-classification,pos,CenIA/albert-base-spanish,CenIA/roberta-base-bne-finetuned-pos,0.0001,32,0.0,1.0,kldiv,14,0.061683404295203775,0.9815722603493467,0.9813562712542508,0.9814642539187148,0.9832987374074004,1313.0615966320038
token-classification,pos,CenIA/albert-base-spanish,CenIA/roberta-base-bne-finetuned-pos,0.0001,64,0.0,1.0,kldiv,15,0.062319567427039146,0.9815893218066478,0.9812162432486498,0.9814027470713579,0.9833368246653083,1353.8373727798462
token-classification,ner,CenIA/albert-base-spanish,CenIA/roberta-base-bne-finetuned-ner,5e-05,16,0.0,1.0,kldiv,14,0.10723361211518447,0.8128681468056185,0.8257767548906789,0.8192716063477565,0.9696963968392,1578.6978216171265
token-classification,ner,CenIA/albert-base-spanish,CenIA/roberta-base-bne-finetuned-ner,5e-05,32,0.0,1.0,kldiv,15,0.1057728302354614,0.8090162114146124,0.8384349827387803,0.8234629294755876,0.9700933872736209,1678.0387179851532
token-classification,ner,CenIA/albert-base-spanish,CenIA/roberta-base-bne-finetuned-ner,5e-05,64,0.0,1.0,kldiv,16,0.10920822756985823,0.7961741424802111,0.8333716915995397,0.8143483638817048,0.968883511663957,1641.2892880439758
token-classification,ner,CenIA/albert-base-spanish,CenIA/roberta-base-bne-finetuned-ner,0.0001,16,0.0,1.0,kldiv,18,0.11519048714544625,0.814523381294964,0.8338319907940162,0.8240645968383943,0.970036674354418,1915.5344789028168
token-classification,ner,CenIA/albert-base-spanish,CenIA/roberta-base-bne-finetuned-ner,0.0001,32,0.0,1.0,kldiv,15,0.10778233567252755,0.8108047522976911,0.8324510932105869,0.8214853508971156,0.969734205452002,1593.2193245887756
token-classification,ner,CenIA/albert-base-spanish,CenIA/roberta-base-bne-finetuned-ner,0.0001,64,0.0,1.0,kldiv,19,0.10513796495894591,0.8138381789497409,0.8310701956271577,0.8223639262127079,0.9705848992400469,1857.562477350235
