task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_precision,validation_recall,validation_f1,validation_accuracy,experiment_elapsed_time
token-classification,pos,josecannete/albert-base-spanish-10,CenIA/roberta-base-bne-finetuned-pos,5e-05,64,0.0,1.0,kldiv,15,0.06477387163501519,0.9811060184536557,0.9805761152230447,0.9808409952677759,0.9826702976519206,1008.1087291240692
token-classification,pos,josecannete/albert-base-spanish-10,CenIA/roberta-base-bne-finetuned-pos,5e-05,32,0.0,1.0,kldiv,14,0.06380731232750875,0.9813280499519692,0.9808961792358472,0.9811120670681687,0.9830702138599532,1058.2353763580322
token-classification,pos,josecannete/albert-base-spanish-10,CenIA/roberta-base-bne-finetuned-pos,5e-05,16,0.0,1.0,kldiv,14,0.06340274547871488,0.9807423109226893,0.9810562112422484,0.9808992359694387,0.9827845594256441,1034.499078989029
token-classification,pos,josecannete/albert-base-spanish-10,CenIA/roberta-base-bne-finetuned-pos,0.0001,64,0.0,1.0,kldiv,14,0.06277597666932987,0.9809840265823292,0.9803560712142428,0.9806699483731541,0.9828416903125059,963.5386898517609
token-classification,pos,josecannete/albert-base-spanish-10,CenIA/roberta-base-bne-finetuned-pos,0.0001,32,0.0,1.0,kldiv,13,0.06224804131600719,0.9808611483311002,0.981116223244649,0.9809886692068445,0.9829178648283217,1005.1287987232208
token-classification,pos,josecannete/albert-base-spanish-10,CenIA/roberta-base-bne-finetuned-pos,0.0001,16,0.0,1.0,kldiv,13,0.06489889606690177,0.980086857325835,0.9796359271854371,0.9798613403763617,0.9819656833806251,948.890602350235
token-classification,ner,josecannete/albert-base-spanish-10,CenIA/roberta-base-bne-finetuned-ner,5e-05,64,0.0,1.0,kldiv,20,0.10921062938869,0.8054018153641798,0.8372842347525892,0.8210336267208305,0.969337215017581,1496.341402053833
token-classification,ner,josecannete/albert-base-spanish-10,CenIA/roberta-base-bne-finetuned-ner,5e-05,32,0.0,1.0,kldiv,16,0.10871074221407374,0.8053255761915418,0.8283084004602992,0.8166553210800999,0.9703958561760369,1223.8468997478485
token-classification,ner,josecannete/albert-base-spanish-10,CenIA/roberta-base-bne-finetuned-ner,5e-05,16,0.0,1.0,kldiv,20,0.11242690993628154,0.8129991126885537,0.8434982738780207,0.8279679204789336,0.9705281863208439,1478.771015882492
token-classification,ner,josecannete/albert-base-spanish-10,CenIA/roberta-base-bne-finetuned-ner,0.0001,64,0.0,1.0,kldiv,20,0.10983475459118684,0.8104457451598379,0.8285385500575374,0.8193922840559918,0.968921320276759,1413.2180166244507
token-classification,ner,josecannete/albert-base-spanish-10,CenIA/roberta-base-bne-finetuned-ner,0.0001,32,0.0,1.0,kldiv,17,0.10957819744944572,0.812221231043711,0.838204833141542,0.8250084947332654,0.9704336647888389,1221.8957254886627
token-classification,ner,josecannete/albert-base-spanish-10,CenIA/roberta-base-bne-finetuned-ner,0.0001,16,0.0,1.0,kldiv,15,0.11414356991493453,0.7942022571365346,0.8260069044879171,0.8097924187725631,0.9686566599871451,1147.3038730621338
