task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_precision,validation_recall,validation_f1,validation_accuracy,experiment_elapsed_time
token-classification,pos,josecannete/albert-base-spanish-6,CenIA/roberta-base-bne-finetuned-pos,5e-05,64,0.0,1.0,kldiv,14,0.06975525746551844,0.9789515806322528,0.9787557511502301,0.9788536560968291,0.9812229818514216,564.8454351425171
token-classification,pos,josecannete/albert-base-spanish-6,CenIA/roberta-base-bne-finetuned-pos,5e-05,32,0.0,1.0,kldiv,15,0.06759402983320448,0.9807850123096015,0.9802160432086418,0.9805004452181569,0.9824036868465654,625.0452561378479
token-classification,pos,josecannete/albert-base-spanish-6,CenIA/roberta-base-bne-finetuned-pos,5e-05,16,0.0,1.0,kldiv,13,0.06696633151911485,0.9788515406162465,0.9786557311462293,0.9787536260878263,0.9810896764487441,580.5690977573395
token-classification,pos,josecannete/albert-base-spanish-6,CenIA/roberta-base-bne-finetuned-pos,0.0001,64,0.0,1.0,kldiv,13,0.06643953288976963,0.9795334507042254,0.9794158831766353,0.9794746634124871,0.9815657671725924,532.9730491638184
token-classification,pos,josecannete/albert-base-spanish-6,CenIA/roberta-base-bne-finetuned-pos,0.0001,32,0.0,1.0,kldiv,13,0.06639519441299714,0.9798254743415259,0.9793158631726345,0.9795706024771395,0.9815848108015464,550.362920999527
token-classification,pos,josecannete/albert-base-spanish-6,CenIA/roberta-base-bne-finetuned-pos,0.0001,16,0.0,1.0,kldiv,12,0.06809304119983259,0.9782347763463232,0.9781956391278256,0.9782152073456161,0.9806707166117575,528.3706848621368
token-classification,ner,josecannete/albert-base-spanish-6,CenIA/roberta-base-bne-finetuned-ner,5e-05,64,0.0,1.0,kldiv,16,0.1101056215663751,0.788402625820569,0.829228998849252,0.8083006169377455,0.9675413059094862,727.2082724571228
token-classification,ner,josecannete/albert-base-spanish-6,CenIA/roberta-base-bne-finetuned-ner,5e-05,32,0.0,1.0,kldiv,15,0.1080339110766848,0.788183807439825,0.8289988492520138,0.808076275939428,0.9681840523271201,687.2385783195496
token-classification,ner,josecannete/albert-base-spanish-6,CenIA/roberta-base-bne-finetuned-ner,5e-05,16,0.0,1.0,kldiv,16,0.11433273025322706,0.7940982162519269,0.8299194476409666,0.8116137744767049,0.9683919996975311,737.1691267490387
token-classification,ner,josecannete/albert-base-spanish-6,CenIA/roberta-base-bne-finetuned-ner,0.0001,64,0.0,1.0,kldiv,14,0.1100257324675719,0.7812157120912882,0.8193325661680092,0.7998202651089643,0.9677114446670951,635.4850518703461
token-classification,ner,josecannete/albert-base-spanish-6,CenIA/roberta-base-bne-finetuned-ner,0.0001,32,0.0,1.0,kldiv,15,0.11692473475510876,0.7792207792207793,0.8147295742232451,0.7965796579657967,0.9666528035086392,686.419659614563
token-classification,ner,josecannete/albert-base-spanish-6,CenIA/roberta-base-bne-finetuned-ner,0.0001,16,0.0,1.0,kldiv,20,0.12464246602418522,0.7887355298308103,0.8154200230149597,0.8018558334276338,0.9674845929902832,895.4937908649445
