teacher_model_name_or_path,learning_rate,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,12,0.7371725458651781,0.5765
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,27,0.2605503937229514,0.901
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,30,0.681546637788415,0.5765
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,33,0.26048175198957324,0.901
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,50,0.24455086584202945,0.911
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,18,0.25453838310204446,0.899
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,mse,13,0.7646189667284489,0.5765
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,mse,30,0.2623975691385567,0.9055
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,ce,28,0.6816923320293427,0.5765
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,ce,39,0.266974126920104,0.903
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,kldiv,29,0.6816843524575233,0.5765
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,kldiv,32,0.2640282337088138,0.9055
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,0.0001,0.0,1.0,mse,46,0.3783909911289811,0.829
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,5e-05,0.0,1.0,mse,14,0.388008538633585,0.8275
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,0.0001,0.0,1.0,ce,50,0.4127053087577224,0.798
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,5e-05,0.0,1.0,ce,15,0.3846598453819752,0.8255
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,0.0001,0.0,1.0,kldiv,33,0.4305988699197769,0.7965
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,5e-05,0.0,1.0,kldiv,25,0.379573967307806,0.826
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,mse,28,0.25851726345717907,0.9015
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,mse,20,0.25941299577243626,0.903
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,ce,13,0.6812720857560635,0.5765
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,ce,39,0.2620450067333877,0.9035
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,kldiv,24,0.6814980395138264,0.5765
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,kldiv,39,0.2524726684205234,0.9035
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,12,0.8226447869092226,0.5765
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,28,0.2621940295211971,0.9
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,23,0.6814975887537003,0.5765
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,29,0.2515892651863396,0.91
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,21,0.26984282536432147,0.8965
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,40,0.2494150255806744,0.9115
