teacher_model_name_or_path,learning_rate,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,23,0.33680527564138174,0.8645
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,30,0.3002821495756507,0.8845
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,26,0.29336709389463067,0.8875
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,21,0.30431984970346093,0.879
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,32,0.3369645359925926,0.867
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,26,0.3138679573312402,0.876
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,mse,25,0.34011193946935236,0.8725
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,mse,36,0.3383889177348465,0.88
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,ce,12,0.34097168454900384,0.85
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,ce,21,0.33341699466109276,0.8715
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,kldiv,20,0.3547196772415191,0.8645
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,kldiv,21,0.34521703980863094,0.8695
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,mse,23,0.31668819300830364,0.88
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,mse,21,0.3132870942354202,0.8765
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,ce,31,0.3196078697219491,0.874
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,ce,35,0.3078971737995744,0.877
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,kldiv,32,0.2977028340101242,0.885
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,kldiv,38,0.3095376556739211,0.877
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,47,0.3108335258439183,0.8795
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,33,0.3080019736662507,0.88
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,38,0.30683757131919265,0.888
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,32,0.31062688445672393,0.8795
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,26,0.30053153494372964,0.891
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,23,0.29892191803082824,0.88
