teacher_model_name_or_path,learning_rate,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,22,0.45395206240937114,0.8135
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,16,0.4922662414610386,0.8135
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,26,0.3911451939493418,0.8345
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,50,0.37473035091534257,0.8435
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,28,0.38455833308398724,0.8405
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,38,0.37344009801745415,0.843
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,mse,27,0.4687200062908232,0.83
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,mse,13,0.5717083886265755,0.785
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,ce,12,0.4510026751086116,0.799
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,ce,12,0.44629812333732843,0.788
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,kldiv,12,0.466348628513515,0.7825
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,kldiv,12,0.44651799090206623,0.788
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,0.0001,0.0,1.0,mse,34,0.4310930706560612,0.7875
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,5e-05,0.0,1.0,mse,40,0.4473859118297696,0.782
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,0.0001,0.0,1.0,ce,32,0.43278788309544325,0.795
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,5e-05,0.0,1.0,ce,32,0.43796377163380384,0.7925
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,0.0001,0.0,1.0,kldiv,25,0.43485222291201353,0.7815
CenIA/distillbert-base-spanish-uncased-finetuned-pawsx,5e-05,0.0,1.0,kldiv,32,0.44112157076597214,0.7965
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,mse,26,0.41861607087776065,0.824
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,mse,35,0.4369713836349547,0.828
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,ce,28,0.4117647744715214,0.8285
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,ce,50,0.40287219965830445,0.825
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,kldiv,36,0.38378124265000224,0.8455
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,kldiv,31,0.4111404153518379,0.8265
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,30,0.3890817081555724,0.84
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,28,0.4013365590944886,0.8385
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,32,0.41654042014852166,0.8185
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,38,0.4062708169221878,0.828
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,23,0.3713920987211168,0.831
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,13,0.41685900278389454,0.809
