teacher_model_name_or_path,learning_rate,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,50,0.7539845034480095,0.5765
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,13,0.7435445450246334,0.5765
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,23,0.6815469264984131,0.5765
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,25,0.4351010713726282,0.82
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,23,0.6815343406051397,0.5765
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,17,0.6815196368843317,0.5765
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,mse,50,0.7584233023226261,0.5765
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,mse,36,0.5330273984000087,0.807
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,ce,24,0.6816734969615936,0.5765
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,ce,13,0.47381163761019707,0.784
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,kldiv,26,0.6816803719848394,0.5765
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,kldiv,25,0.46423931792378426,0.789
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,mse,14,0.8047979474067688,0.5765
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,mse,50,0.7814000640064478,0.715
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,ce,15,0.6814986653625965,0.5765
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,ce,22,0.4184407074935734,0.829
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,kldiv,16,0.6814976781606674,0.5765
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,kldiv,13,0.6814954094588757,0.5765
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,20,0.5838657580316067,0.7785
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,21,0.4520155666396022,0.818
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,17,0.6814976707100868,0.5765
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,22,0.4232564074918628,0.814
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,14,0.6814977005124092,0.5765
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,38,0.41094889445230365,0.8225
